('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      767    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      108    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     1111    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      132    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     1216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      665    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      426    0.001    0.000    0.003    0.000 element.py:934(__new__)
      614    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
    133/3    0.001    0.000    0.228    0.076 <frozen importlib._bootstrap>:986(_find_and_load)
     2496    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      767    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      885    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      300    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
     1263    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
       77    0.001    0.000    0.007    0.000 css_parser.py:474(parse_attribute_selector)
     1864    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     5591    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2163    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2435    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1436    0.001    0.000    0.001    0.000 element.py:1489(get)
     2251    0.001    0.000    0.003    0.000 css_parser.py:319(match)
     3888    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      129    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    129/4    0.001    0.000    0.227    0.057 <frozen importlib._bootstrap>:650(_load_unlocked)
     1263    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2118    0.001    0.000    0.007    0.000 {built-in method builtins.next}
      826    0.001    0.000    0.001    0.000 typing.py:762(__setattr__)
      115    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      148    0.001    0.000    0.075    0.001 sre_parse.py:937(parse)
      768    0.001    0.000    0.001    0.000 socket.py:694(readable)
      153    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      360    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     1975    0.001    0.000    0.001    0.000 element.py:1906(descendants)
        9    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
     1262    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
      614    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      577    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
      101    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
    133/3    0.001    0.000    0.228    0.076 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     2475    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      114    0.001    0.000    0.002    0.000 typing.py:659(__init__)
      426    0.001    0.000    0.001    0.000 __init__.py:495(string_container)
  540/526    0.001    0.000    0.004    0.000 typing.py:255(inner)
     1306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2826    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
      321    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      408    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      148    0.000    0.000    0.001    0.000 enum.py:938(__and__)
     1194    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
1193/1128    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       10    0.000    0.000    0.002    0.000 enum.py:500(<listcomp>)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      482    0.000    0.000    0.005    0.000 enum.py:313(__call__)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
     1536    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
