('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         453379 function calls (438066 primitive calls) in 9.638 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      761    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      761    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      761    7.326    0.010    7.326    0.010 {method 'read' of '_ssl._SSLSocket' objects}
      761    0.002    0.000    7.328    0.010 ssl.py:1090(read)
      761    0.003    0.000    7.332    0.010 ssl.py:1230(recv_into)
      761    0.003    0.000    7.338    0.010 socket.py:655(readinto)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      665    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      647    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      647    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      614    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      614    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      577    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
  566/537    0.000    0.000    0.001    0.000 typing.py:720(__hash__)
      549    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      549    0.008    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
      543    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
  540/526    0.001    0.000    0.004    0.000 typing.py:255(inner)
      518    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      488    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      488    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      482    0.000    0.000    0.005    0.000 enum.py:313(__call__)
      472    0.003    0.000    0.004    0.000 css_types.py:40(__init__)
      472    0.000    0.000    0.001    0.000 enum.py:631(__new__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      438    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      436    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      434    0.001    0.000    0.003    0.000 element.py:934(__new__)
      434    0.001    0.000    0.001    0.000 __init__.py:495(string_container)
      434    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      408    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      399    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      368    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      360    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      350    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      340    0.006    0.000    0.111    0.000 {built-in method builtins.__build_class__}
      329    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      325    0.001    0.000    0.006    0.000 css_parser.py:1115(selector_iter)
      324    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      321    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      307    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      300    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      300    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      300    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      296    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      289    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      289    0.000    0.000    0.123    0.000 re.py:250(compile)
      289    0.002    0.000    0.122    0.000 re.py:289(_compile)
      273    0.000    0.000    0.001    0.000 css_parser.py:346(match)
      268    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      264    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      255    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      247    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      244    0.000    0.000    0.000    0.000 os.py:752(decode)
      233    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      226    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      226    0.000    0.000    0.000    0.000 types.py:171(__get__)
      223    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      220    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      216    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      176    0.000    0.000    0.000    0.000 enum.py:753(value)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
