('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1049    0.001    0.000    0.003    0.000 sre_parse.py:295(_class_escape)
      188    0.001    0.000    0.161    0.001 sre_compile.py:759(compile)
     3686    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      188    0.001    0.000    0.010    0.000 sre_compile.py:536(_compile_info)
      257    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
3356/3288    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      198    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     6335    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      879    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
      268    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      202    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    206/3    0.001    0.000    0.316    0.105 <frozen importlib._bootstrap>:650(_load_unlocked)
     4598    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
    52/14    0.001    0.000    0.023    0.002 css_parser.py:925(parse_selectors)
      425    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      795    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
     4174    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1343    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
      879    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2787    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     1261    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
    220/3    0.001    0.000    0.317    0.106 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      156    0.001    0.000    1.045    0.007 socket.py:655(readinto)
      992    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
       13    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
